linje,timestamp,raw_soc_ticks,display_soc_pct,max_current_a,max_power_w,abort_flag
104006,23:59:11.952:84.00,872,100.0,0.0,5808,1
104146,23:59:12.53:84.00,872,100.0,0.0,5793,1
104280,23:59:12.151:145.00,872,100.0,0.0,5787,1
104554,23:59:12.351:40.00,872,100.0,0.0,5784,1
104981,23:59:12.651:142.00,872,100.0,0.0,5826,1
105256,23:59:12.851:41.00,872,100.0,0.0,5817,1
105394,23:59:12.953:44.00,872,100.0,0.0,5811,1
105667,23:59:13.151:39.00,872,100.0,0.0,5802,1
106245,23:59:13.563:240.00,872,100.0,0.0,5853,1
106366,23:59:13.651:138.00,872,100.0,0.0,5880,1
106642,23:59:13.853:76.00,872,100.0,0.0,5943,1
106777,23:59:13.952:113.00,872,100.0,0.0,5967,1
106914,23:59:14.53:44.00,872,100.0,0.0,5955,1
107048,23:59:14.153:83.00,872,100.0,0.0,5949,1
107630,23:59:14.562:140.00,872,100.0,0.0,5940,1
107893,23:59:14.753:80.00,872,100.0,0.0,5919,1
108301,23:59:15.53:111.00,872,100.0,0.0,5925,1
108572,23:59:15.251:115.00,872,100.0,0.0,5961,1
109133,23:59:15.652:109.00,872,100.0,0.0,5934,1
109407,23:59:15.851:148.00,872,100.0,0.0,5913,1
109542,23:59:15.953:204.00,872,100.0,0.0,5886,1
109955,23:59:16.252:46.00,872,100.0,0.0,5907,1
110681,23:59:16.755:111.00,872,100.0,0.0,5964,1
110949,23:59:16.953:204.00,872,100.0,0.0,5973,1
111088,23:59:17.53:41.00,872,100.0,0.0,5991,1
111226,23:59:17.153:86.00,872,100.0,0.0,5994,1
111362,23:59:17.254:114.00,872,100.0,0.0,5988,1
111495,23:59:17.353:140.00,872,100.0,0.0,5997,1
111640,23:59:17.454:83.00,872,100.0,0.0,6012,1
111806,23:59:17.564:236.00,872,100.0,0.0,6036,1
111926,23:59:17.653:141.00,872,100.0,0.0,6054,1
112067,23:59:17.753:78.00,872,100.0,0.0,6063,1
112203,23:59:17.853:140.00,872,100.0,0.0,6072,1
112338,23:59:17.952:198.00,872,100.0,0.0,6081,1
112475,23:59:18.53:147.00,872,100.0,0.0,6090,1
112609,23:59:18.153:175.00,872,100.0,0.0,6099,1
112747,23:59:18.251:171.00,872,100.0,0.0,6102,1
112882,23:59:18.351:83.00,872,100.0,0.0,6105,1
113174,23:59:18.552:85.00,872,100.0,0.0,6108,1
113310,23:59:18.652:210.00,872,100.0,0.0,6111,1
113452,23:59:18.753:107.00,872,100.0,0.0,6117,1
113584,23:59:18.854:112.00,872,100.0,0.0,6120,1
113722,23:59:18.953:55.00,872,100.0,0.0,6123,1
114127,23:59:19.254:146.00,872,100.0,0.0,6126,1
114555,23:59:19.552:45.00,872,100.0,0.0,6129,1
118150,23:59:22.152:83.00,872,100.0,0.0,6114,1
126782,23:59:28.354:112.00,872,100.0,0.0,6096,1
128859,23:59:29.854:55.00,872,100.0,0.0,6093,1
129001,23:59:29.952:121.00,872,100.0,0.0,6069,1
129271,23:59:30.154:86.00,872,100.0,0.0,6024,1
129408,23:59:30.254:128.00,872,100.0,0.0,6030,1
129542,23:59:30.353:119.00,872,100.0,0.0,6042,1
129682,23:59:30.454:127.00,872,100.0,0.0,6051,1
129850,23:59:30.568:439.00,872,100.0,0.0,6060,1
130245,23:59:30.853:151.00,872,100.0,0.0,6084,1
133675,23:59:33.353:178.00,872,100.0,0.0,6087,1
136175,23:59:35.155:54.00,872,100.0,0.0,6078,1
141423,23:59:38.955:46.00,872,100.0,0.0,6075,1
145152,23:59:41.654:83.00,872,100.0,0.0,6066,1
148733,23:59:44.254:58.00,872,100.0,0.0,6057,1
155615,23:59:49.255:177.00,872,100.0,0.0,6135,1
155749,23:59:49.355:545.00,872,100.0,0.0,6132,1
159934,23:59:52.355:239.00,872,100.0,0.0,6144,1
160074,23:59:52.455:174.00,872,100.0,0.0,6150,1
160238,23:59:52.567:242.00,872,100.0,0.0,6153,1
160362,23:59:52.655:204.00,872,100.0,0.0,6156,1
160769,23:59:52.955:198.00,872,100.0,0.0,6159,1
160906,23:59:53.57:176.00,872,100.0,0.0,6165,1
161312,23:59:53.356:234.00,872,100.0,0.0,6162,1
163676,23:59:55.55:243.00,872,100.0,0.0,6168,1
176117,0:0:4.56:400.00,872,100.0,0.0,6147,1
176389,0:0:4.256:387.00,872,100.0,0.0,6138,1
176818,0:0:4.558:239.00,872,100.0,0.0,6141,1
179301,0:0:6.357:234.00,872,100.0,0.0,6174,1
179440,0:0:6.458:427.00,872,100.0,0.0,6177,1
179608,0:0:6.570:237.00,872,100.0,0.0,6183,1
179733,0:0:6.657:390.00,872,100.0,0.0,6186,1
180284,0:0:7.57:246.00,872,100.0,0.0,6180,1
181666,0:0:8.58:940.00,872,100.0,0.0,6171,1
182379,0:0:8.569:239.00,872,100.0,0.0,6189,1
182503,0:0:8.658:419.00,872,100.0,0.0,6192,1
182643,0:0:8.758:235.00,872,100.0,0.0,6195,1
182780,0:0:8.857:247.00,872,100.0,0.0,6198,1
183190,0:0:9.159:241.00,872,100.0,0.0,6201,1
183882,0:0:9.656:403.00,872,100.0,0.0,6204,1
